timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-11-07T23:17:43.650275Z,KXNFLGAME-25NOV17DALLV-LV,Dallas at Las Vegas Winner?,active,binary,0.34,0.02,0.37,0.02,0.63,0.02,0.66,0.02,0.03,0.03,28,49,4294034.97,326.0
2025-11-07T23:17:43.707792Z,KXNFLGAME-25NOV17DALLV-DAL,Dallas at Las Vegas Winner?,active,binary,0.63,0.02,0.66,0.02,0.34,0.02,0.37,0.02,0.03,0.03,45,27,4267608.11,80.0
2025-11-07T23:17:43.769261Z,KXNFLGAME-25NOV16DETPHI-PHI,Detroit at Philadelphia Winner?,active,binary,0.5,0.02,0.53,0.02,0.47,0.02,0.5,0.02,0.03,0.03,41,36,4802633.07,2067.0
2025-11-07T23:17:43.826281Z,KXNFLGAME-25NOV16DETPHI-DET,Detroit at Philadelphia Winner?,active,binary,0.47,0.02,0.5,0.02,0.5,0.02,0.53,0.02,0.03,0.03,39,36,4776643.16,5.0
2025-11-07T23:17:43.888986Z,KXNFLGAME-25NOV16KCDEN-KC,Kansas City at Denver Winner?,active,binary,0.6,0.02,0.63,0.02,0.37,0.02,0.4,0.02,0.03,0.03,48,29,4276035.97,11141.0
2025-11-07T23:17:43.950755Z,KXNFLGAME-25NOV16KCDEN-DEN,Kansas City at Denver Winner?,active,binary,0.37,0.02,0.39,0.02,0.61,0.02,0.63,0.02,0.02,0.02,30,46,4276817.95,2234.0
2025-11-07T23:17:44.010412Z,KXNFLGAME-25NOV16BALCLE-CLE,Baltimore at Cleveland Winner?,active,binary,0.23,0.02,0.24,0.02,0.76,0.02,0.77,0.02,0.01,0.01,23,61,2973532.53,46.0
2025-11-07T23:17:44.079379Z,KXNFLGAME-25NOV16BALCLE-BAL,Baltimore at Cleveland Winner?,active,binary,0.79,0.02,0.8,0.02,0.2,0.02,0.21,0.02,0.01,0.01,65,19,2974135.63,36.0
2025-11-07T23:17:44.145238Z,KXNFLGAME-25NOV16SEALA-SEA,Seattle at Los Angeles R Winner?,active,binary,0.42,0.02,0.45,0.02,0.55,0.02,0.58,0.02,0.03,0.03,33,41,3777837.71,383.0
2025-11-07T23:17:44.212998Z,KXNFLGAME-25NOV16SEALA-LA,Seattle at Los Angeles R Winner?,active,binary,0.55,0.02,0.58,0.02,0.42,0.02,0.45,0.02,0.03,0.03,38,31,3750880.47,60.0
2025-11-07T23:17:44.273084Z,KXNFLGAME-25NOV16SFARI-SF,San Francisco at Arizona Winner?,active,binary,0.5,0.02,0.53,0.02,0.47,0.02,0.5,0.02,0.03,0.03,40,35,3919293.0,688.0
2025-11-07T23:17:44.332721Z,KXNFLGAME-25NOV16SFARI-ARI,San Francisco at Arizona Winner?,active,binary,0.47,0.02,0.5,0.02,0.5,0.02,0.53,0.02,0.03,0.03,35,33,3892032.32,1.0
2025-11-07T23:17:44.393811Z,KXNFLGAME-25NOV16CINPIT-PIT,Cincinnati at Pittsburgh Winner?,active,binary,0.69,0.02,0.72,0.02,0.28,0.02,0.31,0.02,0.03,0.03,56,23,2689619.64,12.0
2025-11-07T23:17:44.498200Z,KXNFLGAME-25NOV16CINPIT-CIN,Cincinnati at Pittsburgh Winner?,active,binary,0.28,0.02,0.31,0.02,0.69,0.02,0.72,0.02,0.03,0.03,27,53,2689657.98,13.0
2025-11-07T23:17:44.559648Z,KXNFLGAME-25NOV16WASMIA-WAS,Washington at Miami Winner?,active,binary,0.49,0.02,0.52,0.02,0.48,0.02,0.51,0.02,0.03,0.03,36,32,3205285.48,12.0
2025-11-07T23:17:44.625309Z,KXNFLGAME-25NOV16WASMIA-MIA,Washington at Miami Winner?,active,binary,0.48,0.02,0.51,0.02,0.49,0.02,0.52,0.02,0.03,0.03,33,33,3205931.55,54.0
2025-11-07T23:17:44.684928Z,KXNFLGAME-25NOV16TBBUF-TB,Tampa Bay at Buffalo Winner?,active,binary,0.28,0.02,0.31,0.02,0.69,0.02,0.72,0.02,0.03,0.03,26,58,2881944.94,1.0
2025-11-07T23:17:44.751125Z,KXNFLGAME-25NOV16TBBUF-BUF,Tampa Bay at Buffalo Winner?,active,binary,0.69,0.02,0.72,0.02,0.28,0.02,0.31,0.02,0.03,0.03,61,23,2881445.72,102.0
2025-11-07T23:17:44.818795Z,KXNFLGAME-25NOV16GBNYG-NYG,Green Bay at New York G Winner?,active,binary,0.25,0.02,0.28,0.02,0.72,0.02,0.75,0.02,0.03,0.03,25,62,2663665.45,50.0
2025-11-07T23:17:44.877022Z,KXNFLGAME-25NOV16GBNYG-GB,Green Bay at New York G Winner?,active,binary,0.72,0.02,0.75,0.02,0.25,0.02,0.28,0.02,0.03,0.03,65,21,2664220.99,16.0
2025-11-07T23:17:44.940059Z,KXNFLGAME-25NOV16CARATL-CAR,Carolina at Atlanta Winner?,active,binary,0.36,0.02,0.39,0.02,0.61,0.02,0.64,0.02,0.03,0.03,31,37,3367005.14,1.0
2025-11-07T23:17:45.001014Z,KXNFLGAME-25NOV16CARATL-ATL,Carolina at Atlanta Winner?,active,binary,0.61,0.02,0.64,0.02,0.36,0.02,0.39,0.02,0.03,0.03,40,30,3366346.63,0.0
2025-11-07T23:17:45.063375Z,KXNFLGAME-25NOV16LACJAC-LAC,Los Angeles C at Jacksonville Winner?,active,binary,0.52,0.02,0.55,0.02,0.45,0.02,0.48,0.02,0.03,0.03,34,31,3233193.18,199.0
2025-11-07T23:17:45.123625Z,KXNFLGAME-25NOV16LACJAC-JAC,Los Angeles C at Jacksonville Winner?,active,binary,0.45,0.02,0.48,0.02,0.52,0.02,0.55,0.02,0.03,0.03,32,32,3233720.8,0.0
2025-11-07T23:17:45.181653Z,KXNFLGAME-25NOV16HOUTEN-TEN,Houston at Tennessee Winner?,active,binary,0.22,0.02,0.23,0.02,0.77,0.02,0.78,0.02,0.01,0.01,22,61,2527268.24,47.0
2025-11-07T23:17:45.248415Z,KXNFLGAME-25NOV16HOUTEN-HOU,Houston at Tennessee Winner?,active,binary,0.77,0.02,0.8,0.02,0.2,0.02,0.23,0.02,0.03,0.03,64,17,2527098.09,502.0
2025-11-07T23:17:45.313227Z,KXNFLGAME-25NOV16CHIMIN-MIN,Chicago at Minnesota Winner?,active,binary,0.55,0.02,0.58,0.02,0.42,0.02,0.45,0.02,0.03,0.03,40,29,3383771.67,0.0
2025-11-07T23:17:45.369604Z,KXNFLGAME-25NOV16CHIMIN-CHI,Chicago at Minnesota Winner?,active,binary,0.42,0.02,0.45,0.02,0.55,0.02,0.58,0.02,0.03,0.03,30,37,3384255.11,61.0
2025-11-07T23:17:45.436581Z,KXNFLGAME-25NOV13NYJNE-NYJ,New York J at New England Winner?,active,binary,0.16,0.02,0.17,0.02,0.83,0.02,0.84,0.02,0.01,0.01,16,71,2998132.72,742.0
2025-11-07T23:17:45.551830Z,KXNFLGAME-25NOV13NYJNE-NE,New York J at New England Winner?,active,binary,0.83,0.02,0.85,0.02,0.15,0.02,0.17,0.02,0.02,0.02,69,14,2984098.99,27.0
2025-11-07T23:17:45.613854Z,KXNFLGAME-25NOV10PHIGB-PHI,Philadelphia at Green Bay Winner?,active,binary,0.46,0.02,0.47,0.02,0.53,0.02,0.54,0.02,0.01,0.01,46,48,5954529.9,86616.0
2025-11-07T23:17:45.674250Z,KXNFLGAME-25NOV10PHIGB-GB,Philadelphia at Green Bay Winner?,active,binary,0.52,0.02,0.53,0.02,0.47,0.02,0.48,0.02,0.01,0.01,47,43,6157467.47,10208.0
2025-11-07T23:17:45.734811Z,KXNFLGAME-25NOV09PITLAC-PIT,Pittsburgh at Los Angeles C Winner?,active,binary,0.41,0.02,0.42,0.02,0.58,0.02,0.59,0.02,0.01,0.01,41,51,5161604.62,25254.0
2025-11-07T23:17:45.796356Z,KXNFLGAME-25NOV09PITLAC-LAC,Pittsburgh at Los Angeles C Winner?,active,binary,0.58,0.02,0.59,0.02,0.41,0.02,0.42,0.02,0.01,0.01,49,38,5212806.35,4706.0
2025-11-07T23:17:45.859576Z,KXNFLGAME-25NOV09DETWAS-WAS,Detroit at Washington Winner?,active,binary,0.2,0.02,0.21,0.02,0.79,0.02,0.8,0.02,0.01,0.01,20,74,5922476.99,46610.0
2025-11-07T23:17:45.970764Z,KXNFLGAME-25NOV09DETWAS-DET,Detroit at Washington Winner?,active,binary,0.79,0.02,0.8,0.02,0.2,0.02,0.21,0.02,0.01,0.01,79,20,6447699.3,38614.0
2025-11-07T23:17:46.035184Z,KXNFLGAME-25NOV09LASF-SF,Los Angeles R at San Francisco Winner?,active,binary,0.32,0.02,0.33,0.02,0.67,0.02,0.68,0.02,0.01,0.01,32,56,2692178.74,58593.0
2025-11-07T23:17:46.100286Z,KXNFLGAME-25NOV09LASF-LA,Los Angeles R at San Francisco Winner?,active,binary,0.67,0.02,0.68,0.02,0.32,0.02,0.33,0.02,0.01,0.01,55,31,2780454.82,22635.0
2025-11-07T23:17:46.157338Z,KXNFLGAME-25NOV09ARISEA-SEA,Arizona at Seattle Winner?,active,binary,0.74,0.02,0.76,0.02,0.24,0.02,0.26,0.02,0.02,0.02,67,20,3890943.95,102608.0
2025-11-07T23:17:46.218831Z,KXNFLGAME-25NOV09ARISEA-ARI,Arizona at Seattle Winner?,active,binary,0.25,0.02,0.27,0.02,0.73,0.02,0.75,0.02,0.02,0.02,25,66,3888798.84,62998.0
2025-11-07T23:17:46.278414Z,KXNFLGAME-25NOV09BUFMIA-MIA,Buffalo at Miami Winner?,active,binary,0.18,0.02,0.19,0.02,0.81,0.02,0.82,0.02,0.01,0.01,18,75,4382733.26,25836.0
2025-11-07T23:17:46.340298Z,KXNFLGAME-25NOV09BUFMIA-BUF,Buffalo at Miami Winner?,active,binary,0.81,0.02,0.82,0.02,0.18,0.02,0.19,0.02,0.01,0.01,77,18,5046511.32,120995.0
2025-11-07T23:17:46.415761Z,KXNFLGAME-25NOV09NYGCHI-NYG,New York G at Chicago Winner?,active,binary,0.32,0.02,0.33,0.02,0.67,0.02,0.68,0.02,0.01,0.01,32,53,3303845.27,12086.0
2025-11-07T23:17:46.477380Z,KXNFLGAME-25NOV09NYGCHI-CHI,New York G at Chicago Winner?,active,binary,0.67,0.02,0.68,0.02,0.32,0.02,0.33,0.02,0.01,0.01,55,31,3361184.79,13753.0
2025-11-07T23:17:46.583885Z,KXNFLGAME-25NOV09CLENYJ-NYJ,Cleveland at New York J Winner?,active,binary,0.45,0.02,0.46,0.02,0.54,0.02,0.55,0.02,0.01,0.01,41,44,3077279.02,4058.0
2025-11-07T23:17:46.650918Z,KXNFLGAME-25NOV09CLENYJ-CLE,Cleveland at New York J Winner?,active,binary,0.54,0.02,0.55,0.02,0.45,0.02,0.46,0.02,0.01,0.01,50,40,2999808.3,31854.0
2025-11-07T23:17:46.720306Z,KXNFLGAME-25NOV09NOCAR-NO,New Orleans at Carolina Winner?,active,binary,0.3,0.02,0.31,0.02,0.69,0.02,0.7,0.02,0.01,0.01,29,60,2860515.26,30280.0
2025-11-07T23:17:46.785344Z,KXNFLGAME-25NOV09NOCAR-CAR,New Orleans at Carolina Winner?,active,binary,0.69,0.02,0.7,0.02,0.3,0.02,0.31,0.02,0.01,0.01,65,27,2845638.35,35304.0
2025-11-07T23:17:46.852135Z,KXNFLGAME-25NOV09JACHOU-JAC,Jacksonville at Houston Winner?,active,binary,0.5,0.02,0.51,0.02,0.49,0.02,0.5,0.02,0.01,0.01,49,45,2748923.39,30439.0
2025-11-07T23:17:46.918703Z,KXNFLGAME-25NOV09JACHOU-HOU,Jacksonville at Houston Winner?,active,binary,0.49,0.02,0.5,0.02,0.5,0.02,0.51,0.02,0.01,0.01,46,45,2777701.07,19550.0
2025-11-07T23:17:46.979355Z,KXNFLGAME-25NOV09NETB-TB,New England at Tampa Bay Winner?,active,binary,0.56,0.02,0.57,0.02,0.43,0.02,0.44,0.02,0.01,0.01,50,40,3794530.36,30854.0
2025-11-07T23:17:47.126577Z,KXNFLGAME-25NOV09NETB-NE,New England at Tampa Bay Winner?,active,binary,0.43,0.02,0.44,0.02,0.56,0.02,0.57,0.02,0.01,0.01,41,48,3721149.94,37991.0
2025-11-07T23:17:47.187339Z,KXNFLGAME-25NOV09BALMIN-MIN,Baltimore at Minnesota Winner?,active,binary,0.34,0.02,0.35,0.02,0.65,0.02,0.66,0.02,0.01,0.01,34,57,3288218.29,46427.0
2025-11-07T23:17:47.248526Z,KXNFLGAME-25NOV09BALMIN-BAL,Baltimore at Minnesota Winner?,active,binary,0.65,0.02,0.66,0.02,0.34,0.02,0.35,0.02,0.01,0.01,56,31,3390060.05,60873.0
2025-11-07T23:17:47.308308Z,KXNFLGAME-25NOV09ATLIND-IND,Atlanta at Indianapolis Winner?,active,binary,0.72,0.02,0.73,0.02,0.27,0.02,0.28,0.02,0.01,0.01,71,24,3704670.65,128244.0
2025-11-07T23:17:47.370153Z,KXNFLGAME-25NOV09ATLIND-ATL,Atlanta at Indianapolis Winner?,active,binary,0.27,0.02,0.28,0.02,0.72,0.02,0.73,0.02,0.01,0.01,27,68,3359403.06,90801.0
